algorithm,workload,totalRequests,accepted,rejected,acceptanceRate,throughputOps,avgLatencyNs,p50Ns,p90Ns,p95Ns,p99Ns,maxLatencyNs,memoryBytes,perClientBytes,cpuLoad,fairnessIndex,violations
Custom (proportional),periodic_burst,750000,741666,8334,0.9889,13393294.21,94.61,42.00,84.00,125.00,292.00,1649333.00,29258140,14629,0.1991,1.0000,0
Custom (burst-matched),periodic_burst,750000,746428,3572,0.9952,11751763.33,82.66,42.00,84.00,125.00,292.00,189875.00,29230996,14615,0.1905,1.0000,0
Custom (v2-adaptive),periodic_burst,750000,746428,3572,0.9952,10870287.95,85.14,42.00,84.00,125.00,292.00,148083.00,29275249,14637,0.1719,1.0000,0
Token Bucket,random,1501399,1501399,0,1.0000,16606933.31,44.54,42.00,42.00,83.00,166.00,661583.00,56467465,28233,0.2418,1.0000,0
Leaky Bucket,random,1501399,1501399,0,1.0000,20319207.58,41.29,42.00,42.00,83.00,125.00,17083.00,56471601,28235,0.2481,1.0000,0
Fixed Window,random,1501399,1497635,3764,0.9975,22313723.29,36.63,41.00,42.00,83.00,84.00,495125.00,56514201,28257,0.2176,1.0000,0
Sliding Window Log,random,1501399,1495397,6002,0.9960,12709448.64,60.22,42.00,83.00,84.00,375.00,397209.00,58890104,29445,0.2329,1.0000,0
Sliding Window Counter,random,1501399,1495092,6307,0.9958,20588742.57,38.62,41.00,42.00,83.00,84.00,88041.00,56440254,28220,0.2326,1.0000,0
Custom (proportional),random,1501399,1501399,0,1.0000,11452341.33,91.69,42.00,84.00,125.00,250.00,29958.00,56367480,28183,0.2400,1.0000,0
Custom (burst-matched),random,1501399,1501399,0,1.0000,10561999.78,84.85,42.00,84.00,125.00,292.00,236834.00,56361819,28180,0.2127,1.0000,0
Custom (v2-adaptive),random,1501399,1501399,0,1.0000,11990492.92,88.53,42.00,84.00,125.00,291.00,43375.00,56361008,28180,0.2470,1.0000,0
Token Bucket,spike,195001,195001,0,1.0000,17919141.69,55.98,42.00,42.00,84.00,166.00,34125.00,887329,443,0.1211,1.0000,0
Leaky Bucket,spike,195001,195001,0,1.0000,18300769.40,48.93,42.00,42.00,84.00,125.00,26708.00,904107,452,0.1273,1.0000,0
Fixed Window,spike,195001,195000,1,1.0000,21939248.90,62.51,41.00,42.00,83.00,84.00,56292.00,1113825,556,0.1283,1.0000,0
Sliding Window Log,spike,195001,195000,1,1.0000,13703610.75,62.83,42.00,83.00,84.00,209.00,94166.00,891652,445,0.1318,1.0000,0
Sliding Window Counter,spike,195001,194995,6,1.0000,22141747.84,43.78,41.00,42.00,83.00,84.00,50084.00,983932,491,0.1252,1.0000,0
Custom (proportional),spike,195001,195001,0,1.0000,8939784.44,88.27,42.00,84.00,125.00,250.00,218750.00,914433,457,0.1377,1.0000,0
Custom (burst-matched),spike,195001,195001,0,1.0000,10442694.83,110.74,42.00,84.00,125.00,250.00,3636041.00,1126240,563,0.1428,1.0000,0
Custom (v2-adaptive),spike,195001,195001,0,1.0000,12284465.07,91.56,42.00,84.00,125.00,250.00,58292.00,950059,475,0.1225,1.0000,0
Token Bucket,multi_client,1506750,1506750,0,1.0000,4425825.56,1016.29,84.00,166.00,167.00,292.00,289434125.00,1152539,576,0.2506,0.9614,0
Leaky Bucket,multi_client,1506750,1506750,0,1.0000,7568623.24,126.74,84.00,125.00,167.00,250.00,1176750.00,1162953,581,0.2738,0.9614,0
Fixed Window,multi_client,1506750,1506750,0,1.0000,6534406.14,217.75,83.00,125.00,167.00,209.00,121625.00,1139142,569,0.2672,0.9614,0
Sliding Window Log,multi_client,1506750,1506750,0,1.0000,4713428.58,1116.34,125.00,167.00,208.00,333.00,224728958.00,1149412,574,0.2698,0.9614,0
Sliding Window Counter,multi_client,1506750,1506750,0,1.0000,8676197.78,101.49,83.00,125.00,166.00,209.00,15125.00,1144476,572,0.2594,0.9614,0
Custom (proportional),multi_client,1506750,1506750,0,1.0000,3597810.39,357.25,166.00,209.00,291.00,417.00,44120333.00,1164792,582,0.2804,0.9614,0
Custom (burst-matched),multi_client,1506750,1506750,0,1.0000,3971985.77,190.50,166.00,209.00,291.00,458.00,28584.00,1147894,573,0.2805,0.9614,0
Custom (v2-adaptive),multi_client,1506750,1506750,0,1.0000,3504689.48,264.69,166.00,209.00,292.00,459.00,7009208.00,1149417,574,0.2668,0.9614,0
Token Bucket,adversarial,1500000,750750,749250,0.5005,18186827.97,67.55,42.00,83.00,84.00,167.00,37750.00,1048924,524,0.1928,1.0000,0
Leaky Bucket,adversarial,1500000,750750,749250,0.5005,17838624.30,43.63,42.00,83.00,84.00,208.00,8375.00,992280,496,0.2003,1.0000,0
Fixed Window,adversarial,1500000,1500000,0,1.0000,21554692.71,36.99,41.00,42.00,83.00,84.00,105792.00,998580,499,0.1935,1.0000,0
Sliding Window Log,adversarial,1500000,750000,750000,0.5000,16901976.03,49.36,42.00,42.00,83.00,125.00,255625.00,950337,475,0.1929,1.0000,0
Sliding Window Counter,adversarial,1500000,750000,750000,0.5000,24772930.83,36.85,42.00,42.00,83.00,84.00,22083.00,1002755,501,0.1826,1.0000,0
Custom (proportional),adversarial,1500000,562358,937642,0.3749,14160112.29,95.04,42.00,84.00,125.00,250.00,19958.00,1048737,524,0.2012,1.0000,0
Custom (burst-matched),adversarial,1500000,722673,777327,0.4818,12913077.70,64.94,42.00,125.00,125.00,250.00,29458.00,990028,495,0.2206,1.0000,0
Custom (v2-adaptive),adversarial,1500000,792785,707215,0.5285,11470337.03,93.99,42.00,125.00,125.00,250.00,6528667.00,1048723,524,0.1990,1.0000,0
Token Bucket,idle_then_burst,28001,28001,0,1.0000,27005719.67,37.16,42.00,42.00,83.00,125.00,9375.00,1048819,524,0.1088,1.0000,0
Leaky Bucket,idle_then_burst,28001,28001,0,1.0000,24335319.46,41.82,42.00,83.00,84.00,125.00,121000.00,1048824,524,0.1101,1.0000,0
Fixed Window,idle_then_burst,28001,28001,0,1.0000,33065760.79,30.46,41.00,42.00,42.00,84.00,14458.00,1013169,506,0.1203,1.0000,0
Sliding Window Log,idle_then_burst,28001,28001,0,1.0000,18836411.89,53.51,42.00,83.00,84.00,167.00,11083.00,1048824,524,0.1105,1.0000,0
Sliding Window Counter,idle_then_burst,28001,28001,0,1.0000,31004686.20,32.52,41.00,42.00,83.00,84.00,73083.00,1048819,524,0.1071,1.0000,0
Custom (proportional),idle_then_burst,28001,28001,0,1.0000,14627891.58,69.95,42.00,84.00,125.00,209.00,117666.00,973155,486,0.1169,1.0000,0
Custom (burst-matched),idle_then_burst,28001,28001,0,1.0000,13302484.84,81.36,42.00,84.00,125.00,209.00,1737292.00,1048656,524,0.1186,1.0000,0
Custom (v2-adaptive),idle_then_burst,28001,28001,0,1.0000,14776237.54,67.99,42.00,84.00,125.00,250.00,24334.00,1048627,524,0.1099,1.0000,0
Token Bucket,chronic_edge_rider,1469650,1469650,0,1.0000,16368514.86,45.25,42.00,42.00,84.00,166.00,662000.00,1042625,521,0.2029,1.0000,0
Leaky Bucket,chronic_edge_rider,1469650,1469650,0,1.0000,16394547.57,48.23,42.00,42.00,83.00,167.00,81375.00,1040537,520,0.1974,1.0000,0
Fixed Window,chronic_edge_rider,1469650,1469650,0,1.0000,26393574.08,36.94,41.00,42.00,83.00,84.00,7583.00,1048900,524,0.2091,1.0000,0
Sliding Window Log,chronic_edge_rider,1469650,1469650,0,1.0000,12505951.63,52.13,42.00,83.00,84.00,375.00,33792.00,1048929,524,0.2025,1.0000,0
Sliding Window Counter,chronic_edge_rider,1469650,1469650,0,1.0000,20797383.40,39.73,42.00,42.00,83.00,125.00,62625.00,1025843,512,0.2058,1.0000,0
Custom (proportional),chronic_edge_rider,1469650,1469650,0,1.0000,10397208.94,101.94,83.00,125.00,125.00,292.00,769209.00,1048819,524,0.2015,1.0000,0
Custom (burst-matched),chronic_edge_rider,1469650,1469650,0,1.0000,12129977.18,74.64,42.00,84.00,125.00,292.00,945542.00,1048761,524,0.2311,1.0000,0
Custom (v2-adaptive),chronic_edge_rider,1469650,1469650,0,1.0000,11563186.83,72.38,42.00,84.00,125.00,291.00,443084.00,1048732,524,0.2071,1.0000,0
Token Bucket,repeated_burst_abuser,2250000,1520000,730000,0.6756,19321387.82,76.57,42.00,83.00,84.00,167.00,17773875.00,983924,491,0.2262,1.0000,0
Leaky Bucket,repeated_burst_abuser,2250000,1520000,730000,0.6756,21571313.80,54.43,42.00,42.00,84.00,166.00,12458.00,1048939,524,0.2312,1.0000,0
Fixed Window,repeated_burst_abuser,2250000,1450000,800000,0.6444,25372137.57,35.57,41.00,42.00,83.00,84.00,6750.00,952457,476,0.2227,1.0000,0
Sliding Window Log,repeated_burst_abuser,2250000,1250000,1000000,0.5556,9910404.73,59.69,42.00,83.00,84.00,84.00,43625.00,925276,462,0.2080,1.0000,0
Sliding Window Counter,repeated_burst_abuser,2250000,1077423,1172577,0.4789,22838597.30,38.26,42.00,42.00,83.00,84.00,75667.00,1046632,523,0.2229,1.0000,0
Custom (proportional),repeated_burst_abuser,2250000,1486666,763334,0.6607,13141209.84,72.43,42.00,84.00,125.00,291.00,54084.00,1052172,526,0.2160,1.0000,0
Custom (burst-matched),repeated_burst_abuser,2250000,1525713,724287,0.6781,14179899.70,82.59,42.00,84.00,125.00,209.00,29958.00,1048790,524,0.2292,1.0000,0
Custom (v2-adaptive),repeated_burst_abuser,2250000,1493908,756092,0.6640,12914827.44,82.32,42.00,125.00,125.00,250.00,1938333.00,1036185,518,0.2201,1.0000,0
