algorithm,workload,totalRequests,accepted,rejected,acceptanceRate,throughputOps,avgLatencyNs,p50Ns,p90Ns,p95Ns,p99Ns,maxLatencyNs,memoryBytes,perClientBytes,cpuLoad,fairnessIndex,violations
Sliding Window Counter,burst,1000,1000,0,1.0000,22647709.10,44.19,42.00,83.00,83.00,84.00,9667.00,1086032,108603,0.1033,1.0000,0
Custom (proportional),burst,1000,333,667,0.3330,4782207.63,395.48,458.00,583.00,625.00,1042.00,43584.00,1086043,108604,0.1064,1.0000,0
Custom (burst-matched),burst,1000,428,572,0.4280,10784681.82,95.08,42.00,125.00,167.00,209.00,44083.00,1086048,108604,0.1041,1.0000,0
Custom (v2-adaptive),burst,1000,428,572,0.4280,5274054.77,348.61,458.00,500.00,500.00,583.00,34666.00,1086048,108604,0.1064,1.0000,0
Token Bucket,periodic_burst,15000,15000,0,1.0000,27038482.39,37.65,41.00,83.00,125.00,167.00,15459.00,1613454,161345,0.1041,1.0000,0
Leaky Bucket,periodic_burst,15000,15000,0,1.0000,25766661.53,39.25,42.00,83.00,125.00,167.00,14458.00,1613403,161340,0.0967,1.0000,0
Fixed Window,periodic_burst,15000,15000,0,1.0000,29247904.56,34.20,41.00,83.00,84.00,84.00,11375.00,1613408,161340,0.1027,1.0000,0
Sliding Window Log,periodic_burst,15000,15000,0,1.0000,22694231.27,44.07,42.00,83.00,83.00,84.00,11417.00,1637424,163742,0.1028,1.0000,0
Sliding Window Counter,periodic_burst,15000,15000,0,1.0000,27390842.04,36.51,42.00,42.00,83.00,84.00,10667.00,1613411,161341,0.0970,1.0000,0
Custom (proportional),periodic_burst,15000,14833,167,0.9889,18512916.43,54.07,42.00,83.00,84.00,167.00,15209.00,1613432,161343,0.1029,1.0000,0
Custom (burst-matched),periodic_burst,15000,14928,72,0.9952,18285035.24,54.71,42.00,84.00,84.00,167.00,15000.00,1613432,161343,0.1027,1.0000,0
Custom (v2-adaptive),periodic_burst,15000,14928,72,0.9952,13304071.03,75.18,42.00,166.00,167.00,167.00,18084.00,1613432,161343,0.1027,1.0000,0
Token Bucket,random,30095,30095,0,1.0000,23899462.34,41.95,42.00,83.00,125.00,167.00,14334.00,2138630,213863,0.1043,1.0000,0
Leaky Bucket,random,30095,30095,0,1.0000,24337551.66,41.45,42.00,83.00,125.00,167.00,11209.00,2138595,213859,0.1033,1.0000,0
Fixed Window,random,30095,29630,465,0.9845,28966395.83,34.69,41.00,83.00,84.00,84.00,17792.00,2138600,213860,0.0993,1.0000,0
Sliding Window Log,random,30095,29253,842,0.9720,18887856.65,52.96,42.00,84.00,125.00,167.00,17208.00,2184024,218402,0.1015,1.0000,0
Sliding Window Counter,random,30095,29401,694,0.9769,25310815.73,39.56,42.00,42.00,83.00,84.00,17500.00,2138603,213860,0.0973,1.0000,0
Custom (proportional),random,30095,30095,0,1.0000,15962424.50,63.29,42.00,125.00,125.00,167.00,17500.00,2138624,213862,0.1015,1.0000,0
Custom (burst-matched),random,30095,30095,0,1.0000,16829096.48,59.42,42.00,125.00,166.00,167.00,18709.00,2138624,213862,0.1012,1.0000,0
Custom (v2-adaptive),random,30095,30095,0,1.0000,13367997.48,74.82,42.00,125.00,167.00,167.00,18958.00,2138624,213862,0.1021,1.0000,0
Token Bucket,spike,3900,3900,0,1.0000,20930263.47,47.89,42.00,83.00,125.00,167.00,12208.00,1190539,119053,0.1048,1.0000,0
Leaky Bucket,spike,3900,3900,0,1.0000,21232159.79,47.13,42.00,83.00,84.00,167.00,10709.00,1190544,119054,0.1031,1.0000,0
Fixed Window,spike,3900,3900,0,1.0000,23218927.85,45.63,42.00,83.00,84.00,84.00,46250.00,1190539,119053,0.0942,1.0000,0
Sliding Window Log,spike,3900,3900,0,1.0000,19010730.81,54.49,42.00,84.00,84.00,208.00,30583.00,1195355,119535,0.1004,1.0000,0
Sliding Window Counter,spike,3900,3899,1,0.9997,25055325.58,39.93,42.00,42.00,83.00,84.00,9041.00,1190547,119054,0.0984,1.0000,0
Custom (proportional),spike,3900,3900,0,1.0000,17088120.13,58.69,42.00,84.00,84.00,167.00,18625.00,1190568,119056,0.1033,1.0000,0
Custom (burst-matched),spike,3900,3900,0,1.0000,17018799.57,58.77,42.00,84.00,84.00,125.00,18000.00,1127649,112764,0.1038,1.0000,0
Custom (v2-adaptive),spike,3900,3900,0,1.0000,11392768.65,89.92,83.00,125.00,166.00,208.00,77791.00,1190568,119056,0.1014,1.0000,0
Token Bucket,multi_client,57000,57000,0,1.0000,34351234.36,29.34,41.00,42.00,83.00,166.00,8167.00,3158728,315872,0.1123,0.3312,0
Leaky Bucket,multi_client,57000,57000,0,1.0000,32058455.16,31.25,41.00,42.00,83.00,166.00,2375.00,3158728,315872,0.0996,0.3312,0
Fixed Window,multi_client,57000,57000,0,1.0000,30200085.26,33.12,41.00,83.00,84.00,84.00,8125.00,3158728,315872,0.0986,0.3312,0
Sliding Window Log,multi_client,57000,57000,0,1.0000,23745721.35,42.11,42.00,83.00,83.00,84.00,10375.00,3250088,325008,0.1002,0.3312,0
Sliding Window Counter,multi_client,57000,56985,15,0.9997,27258691.52,36.69,42.00,42.00,83.00,84.00,7833.00,3158803,315880,0.1019,0.3313,0
Custom (proportional),multi_client,57000,57000,0,1.0000,16213337.89,61.94,42.00,84.00,125.00,167.00,13666.00,3158968,315896,0.0998,0.3312,0
Custom (burst-matched),multi_client,57000,57000,0,1.0000,16719993.20,59.94,42.00,84.00,125.00,167.00,13167.00,3158963,315896,0.1007,0.3312,0
Custom (v2-adaptive),multi_client,57000,57000,0,1.0000,14868571.93,67.28,42.00,125.00,166.00,167.00,14459.00,3158968,315896,0.0993,0.3312,0
Token Bucket,adversarial,30000,15015,14985,0.5005,28602067.81,35.02,41.00,42.00,83.00,166.00,8542.00,1048865,104886,0.1087,1.0000,0
Leaky Bucket,adversarial,30000,15015,14985,0.5005,28773303.32,34.86,41.00,42.00,83.00,166.00,11625.00,1048803,104880,0.0971,1.0000,0
Fixed Window,adversarial,30000,30000,0,1.0000,29700501.97,33.68,41.00,83.00,84.00,84.00,11167.00,1048808,104880,0.1019,1.0000,0
Sliding Window Log,adversarial,30000,15000,15000,0.5000,24893328.45,40.18,42.00,83.00,83.00,84.00,11584.00,1048803,104880,0.0968,1.0000,0
Sliding Window Counter,adversarial,30000,15000,15000,0.5000,28854536.62,34.79,42.00,42.00,83.00,84.00,26250.00,983793,98379,0.0958,1.0000,0
Custom (proportional),adversarial,30000,11240,18760,0.3747,15678055.43,64.24,42.00,125.00,166.00,167.00,21250.00,1048640,104864,0.1008,1.0000,0
Custom (burst-matched),adversarial,30000,14444,15556,0.4815,16252448.71,61.62,42.00,125.00,166.00,167.00,40917.00,1048640,104864,0.1018,1.0000,0
Custom (v2-adaptive),adversarial,30000,15844,14156,0.5281,12845490.82,77.87,42.00,166.00,167.00,208.00,25625.00,1048616,104861,0.1012,1.0000,0
Token Bucket,idle_then_burst,1501,1501,0,1.0000,19153267.21,52.24,42.00,83.00,125.00,167.00,12833.00,1048808,104880,0.1041,1.0000,0
Leaky Bucket,idle_then_burst,1501,1501,0,1.0000,19672343.40,50.87,42.00,83.00,125.00,167.00,8875.00,1048808,104880,0.1035,1.0000,0
Fixed Window,idle_then_burst,1501,1501,0,1.0000,24861703.80,40.24,41.00,83.00,84.00,84.00,11583.00,1048808,104880,0.1010,1.0000,0
Sliding Window Log,idle_then_burst,1501,1501,0,1.0000,20609573.67,48.55,42.00,83.00,84.00,84.00,11042.00,1048808,104880,0.1038,1.0000,0
Sliding Window Counter,idle_then_burst,1501,1500,1,0.9993,22296453.09,44.88,42.00,42.00,83.00,84.00,13125.00,1048808,104880,0.1037,1.0000,0
Custom (proportional),idle_then_burst,1501,1501,0,1.0000,14041835.35,73.58,42.00,84.00,125.00,167.00,15625.00,1048635,104863,0.0989,1.0000,0
Custom (burst-matched),idle_then_burst,1501,1501,0,1.0000,14873798.85,68.30,42.00,84.00,125.00,167.00,15916.00,1048640,104864,0.1035,1.0000,0
Custom (v2-adaptive),idle_then_burst,1501,1501,0,1.0000,10448663.10,95.79,83.00,166.00,167.00,208.00,24625.00,1048616,104861,0.1051,1.0000,0
Token Bucket,chronic_edge_rider,29337,29337,0,1.0000,23551462.35,42.64,42.00,83.00,125.00,167.00,16125.00,1048841,104884,0.1042,1.0000,0
Leaky Bucket,chronic_edge_rider,29337,29337,0,1.0000,24525992.94,40.95,42.00,83.00,125.00,167.00,13000.00,1048808,104880,0.1018,1.0000,0
Fixed Window,chronic_edge_rider,29337,29234,103,0.9965,30077540.37,33.25,41.00,83.00,84.00,84.00,12833.00,1048808,104880,0.1003,1.0000,0
Sliding Window Log,chronic_edge_rider,29337,29079,258,0.9912,19230349.32,52.03,42.00,84.00,125.00,167.00,13959.00,1048808,104880,0.1011,1.0000,0
Sliding Window Counter,chronic_edge_rider,29337,29121,216,0.9926,26518464.96,37.74,42.00,42.00,83.00,84.00,10917.00,1048808,104880,0.1020,1.0000,0
Custom (proportional),chronic_edge_rider,29337,29337,0,1.0000,16327194.19,61.42,42.00,125.00,125.00,167.00,17250.00,1048640,104864,0.1010,1.0000,0
Custom (burst-matched),chronic_edge_rider,29337,29337,0,1.0000,16726561.78,59.79,42.00,84.00,125.00,167.00,16958.00,1048640,104864,0.1010,1.0000,0
Custom (v2-adaptive),chronic_edge_rider,29337,29337,0,1.0000,12542825.72,79.74,83.00,166.00,167.00,167.00,17417.00,1048616,104861,0.0969,1.0000,0
Token Bucket,repeated_burst_abuser,45000,30400,14600,0.6756,29738364.36,33.71,41.00,42.00,83.00,166.00,11916.00,1048808,104880,0.1038,1.0000,0
Leaky Bucket,repeated_burst_abuser,45000,30400,14600,0.6756,28460174.96,35.16,41.00,42.00,84.00,167.00,13584.00,1048808,104880,0.1020,1.0000,0
Fixed Window,repeated_burst_abuser,45000,29000,16000,0.6444,29613111.12,34.19,41.00,83.00,83.00,84.00,12667.00,1048808,104880,0.1008,1.0000,0
Sliding Window Log,repeated_burst_abuser,45000,25000,20000,0.5556,24165926.13,41.43,42.00,83.00,83.00,84.00,12583.00,1048808,104880,0.1024,1.0000,0
Sliding Window Counter,repeated_burst_abuser,45000,21554,23446,0.4790,30060112.56,33.27,42.00,42.00,83.00,84.00,12167.00,1048803,104880,0.1055,1.0000,0
Custom (proportional),repeated_burst_abuser,45000,29733,15267,0.6607,17172328.33,58.26,42.00,84.00,125.00,167.00,18125.00,1048635,104863,0.0957,1.0000,0
Custom (burst-matched),repeated_burst_abuser,45000,30513,14487,0.6781,13415017.59,74.56,42.00,125.00,167.00,167.00,15166.00,1048640,104864,0.1002,1.0000,0
Custom (v2-adaptive),repeated_burst_abuser,45000,29880,15120,0.6640,13649154.85,73.31,42.00,125.00,166.00,167.00,19875.00,1048611,104861,0.1028,1.0000,0
